vphill,1002
cni_org,3540
aminabahri7,0
Resoource,1330
thesquashSH,1792
silvertje,5805
Gavindya2,19
JanaeJackson__,9
yasithmilinda,120
mahfuzulhoq,63
suleiman_husam,3
Ait360,610
anwagnerdreas,498
profdownie,243
ijaitjournal,32
euanc,2143
fanchyna,51
_Dhanraj,567
storygraphbot,46
UdochiNweke,0
unstablearchive,723
jrich85,72
dalmailing,332
lsuttell,891
NLM_DIMRC,6221
ResearchBuzz,5401
jeffreysreznick,1253
rdarrellmeadows,517
TotalAssumption,3528
Rezasho0n,282
chandakaniket,87
drchargood,102
lesliemsage,241
amnsalehi,6
MeryemBendella,37
ACMHT,274
mizan102,20
nunompmoniz,1022
vinaygo,198
ingmarweber,2224
michael659420,20
SyrupType,231
bitarchivist,848
normeu,29
BelaGipp,210
icanhazmemento,45
_lpag,196
anne_lauscher,50
arjenpdevries,1988
societyoftrees,158
protestreich,94
kaiec,318
maxgreco,837
mhucka,690
BreitingerC,108
TirthankarSlg,56
s_putze,25
FranziskaPradel,50
phschaer,355
safety_refinery,783
patrickDurusau,1275
hrbrmstr,10461
AnnaPerricci,688
elieraad,766
KotsemirMaxim,926
jcdl2018,143
sfatiho,103
SirigerePrakash,4
GetGabrielB,16
IRI_2019,3
albsantosdel,203
manishdeora,232
bobcatsss2019,531
network25935525,10
nickishiring,164
ikbear,1437
8u1x0,44
fromADMwithlove,740
saglikozhan,639
keesone,757
sahelno,2
Wikicite,3158
nwalpin,0
Jim_Salmons,712
Tswaynee,182
rainroogle,18
skhoboo,278
jlkoepke,1095
softandfierce,633
epicureansir,12
ajioye,1487
Phonerium1,5
mcdonald,2684
wospworkshop,173
scientocracyio,569
PageDashApp,27
pluto_network,1241
mir_smi,71
camsteiner,347
Hussam_A_Hallak,45
srbutner,395
HarvLatinoAlum,356
vikesh_koul,510
brian3354,47
m_nsiddique,43
maheedhargunnam,48
PlinioHVargas,31
RyanOkta16,4
mart1nkle1n,710
HarvardLIL,2539
MiglenaMinkova,159
ZachTanZM,109
femalegazebot,408
IgwehJonah,224
jayjeystic,1363
iamidakwo,262
grateful_slave,592
rkarasick,157
lizalphilHR,862
DamolaMore,1185
AijazAh20128175,4
KRGilbertson,938
thepamilerin,95590
EbenezarWikina,5632
blossomozurumba,44835
grantcatkins,64
RyanDeschamps,3555
jasminemulliken,470
james3neal,9402
aabibliographer,2031
effodu,4373
Sophiepinky22,30
ProudPakArmy,69
Okereke_Lucky,9
NiekoGloss,21542
BabithaBokka,2
aag1091,632
knowtheory,4456
nanopub_org,437
mceke88,49
mowdydod,6
joaileen_,498
erikaris,151
dennisredeker,252
AntonJRasmussen,6
SohanKhattak,43
jsayeidi123,3
jcdl2017,217
cipherbook,17
documentnow,2356
ProactiveProf,1025
JaveriaKiran2,17
clancynewyork,2767
captain_maybe,2479
Vendett26972328,12
akkshirsagar,6
ChrisAldrich,2259
oducs,252
PositiveID_Corp,2210
archiveis,2549
permacc,747
fizza_hassan,42
KhTalha6,17
MySoulisFat,325
ahidamzair,6967
atomotic,1001
lkcalloway,2061
meangrape,4919
localmem,50
kevinphys,63
Mementoweb,86
scientiffic,1749
mzagaja,830
whatbrett,1174
walkeroh,860
dpjones1983,99
jesseajohnston,1625
SocScholarCR,1738
diuhtez,211
chrisfreeland,1526
J_IreneTieman,285
moduloone,802
helgeho,140
webrecorder_io,1710
BergisJules,3044
mdzellerCDAL,71
weiglemc,343
hvdsomp,1966
emilymaemura,212
docmattweber,1189
DanKerchner,315
Moha_Magdy,738
jessogden,2180
edsu,5777
ncasemajor,373
johnaberlin,148
Mohamma47262302,13
anneliv,233
ssfrug,143
doviethung,16
thenetmonitor,2580
muira_mccammon,1005
e_mccain,554
zittrain,44418
abziegler,2031
this_phillips,235
elithemutt,210
DanMilanko,8
CorrenMcCoy,40
6T7VXu11XcTiAbd,15
nofearcoca972,253
nichworby,24
smythbound,185
moffattchristie,67
srocheleau,341
kelseyutne,1289
f_nanni,483
ruebot,1721
AllisonHegel,201
pj_webster,3097
nullhandle,1175
bertramlyons,1586
KatherineRCook,2032
jeremyw,290
IuliaCristina12,96
AndreeaCorinaM2,261
majetisiri,36
babafree2223,39
SaligariTwitte,7
ianmilligan1,4690
phonedude_mln,921
riyadgraphic,17
kaylamarie0110,21
janesodea,3
shawnmjones,405
kingswebit,125
ScottGAinsworth,147
LOttobre,26
robina_naazli,685
justinfbrunelle,271
ibnesayeed,653
abenbot,45
aheshamSalem,247
LulwahMA,53
yasmina_anwar,462
maturban1,125
WebSciDL,446
acnwala,247
